TotalSteps,TotalDistance,TrackerDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,SedentaryActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories,StepsPerMinute,DistancePerStep,VeryActiveRatio,SedentaryRatio,ActiveMinutesTotal,ActivityScore,EffectiveActiveTime,ActivityLevel,Gender,Age
13162.0,8.5,8.5,1.87999999523163,0.550000011920929,6.05999994277954,0.0,25.0,13.0,328.0,728,1985.0,35.96174863387978,0.0006457985108646102,0.22117647002725058,0.5055555555555555,366.0,429.0,0.33455210237659966,High,Male,28
10735.0,6.96999979019165,6.96999979019165,1.57000005245209,0.689999997615814,4.71000003814697,0.0,21.0,19.0,217.0,776,1797.0,41.7704280155642,0.0006492780428683419,0.22525109034600424,0.5388888888888889,257.0,318.0,0.24878993223620524,High,Female,57
10460.0,6.73999977111816,6.73999977111816,2.44000005722046,0.400000005960464,3.91000008583069,0.0,30.0,11.0,181.0,1218,1776.0,47.11711711711712,0.0006443594427455219,0.3620178249376507,0.8458333333333333,222.0,293.0,0.15416666666666667,High,Female,43
9762.0,6.28000020980835,6.28000020980835,2.14000010490417,1.25999999046326,2.82999992370605,0.0,29.0,34.0,209.0,726,1745.0,35.88970588235294,0.0006433108184601874,0.34076433653009025,0.5041666666666667,272.0,364.0,0.2725450901803607,Medium,Male,60
12669.0,8.15999984741211,8.15999984741211,2.71000003814697,0.409999996423721,5.03999996185303,0.0,36.0,10.0,221.0,773,1863.0,47.449438202247194,0.0006440918657677883,0.3321078540223783,0.5368055555555555,267.0,349.0,0.2567307692307692,High,Male,59
9705.0,6.48000001907349,6.48000001907349,3.19000005722046,0.779999971389771,2.50999999046326,0.0,38.0,20.0,164.0,539,1728.0,43.71621621621622,0.0006676970653347233,0.49228395799859365,0.37430555555555556,222.0,318.0,0.29172141918528255,Medium,Male,50
13019.0,8.59000015258789,8.59000015258789,3.25,0.639999985694885,4.71000003814697,0.0,42.0,16.0,233.0,1149,1921.0,44.738831615120276,0.0006598049122503949,0.3783469082967222,0.7979166666666667,291.0,391.0,0.20208333333333334,High,Male,40
15506.0,9.88000011444092,9.88000011444092,3.52999997138977,1.32000005245209,5.03000020980835,0.0,50.0,31.0,264.0,775,2035.0,44.94492753623189,0.0006371727147195228,0.357287442358448,0.5381944444444444,345.0,476.0,0.3080357142857143,High,Female,42
10544.0,6.67999982833862,6.67999982833862,1.96000003814697,0.479999989271164,4.23999977111816,0.0,28.0,12.0,205.0,818,1786.0,43.03673469387755,0.0006335356438105672,0.2934131869033956,0.5680555555555555,245.0,313.0,0.23047977422389465,High,Female,26
9819.0,6.34000015258789,6.34000015258789,1.3400000333786,0.349999994039536,4.65000009536743,0.0,19.0,8.0,211.0,838,1775.0,41.2563025210084,0.0006456869490363468,0.21135646705491526,0.5819444444444445,238.0,284.0,0.2211895910780669,High,Male,35
